time, Pressure
2019/04/04 09:00:00, 101364.27
2019/04/04 10:00:00, 101265.80
2019/04/05 01:00:00, 100887.40
2019/04/05 02:00:00, 100823.88
2019/04/05 03:00:00, 100786.68
2019/04/05 04:00:00, 100734.62
2019/04/05 05:00:00, 100699.31
2019/04/05 06:00:00, 100678.69
2019/04/05 07:00:00, 100675.06
2019/04/05 08:00:00, 100640.73
2019/04/05 09:00:00, 100562.42
2019/04/05 10:00:00, 100454.05
2019/04/05 11:00:00, 100306.91
2019/04/05 12:00:00, 100172.28
2019/04/05 13:00:00, 100041.48
2019/04/05 14:00:00, 99925.03
2019/04/05 15:00:00, 99848.59
2019/04/05 16:00:00, 99811.08
2019/04/05 17:00:00, 99777.75
2019/04/05 18:00:00, 99811.70
2019/04/05 19:00:00, 99877.45
2019/04/05 20:00:00, 99948.88
2019/04/05 21:00:00, 100000.61
2019/04/05 22:00:00, 100032.91
2019/04/05 23:00:00, 100058.98
2019/04/06 00:00:00, 100143.02
2019/04/06 01:00:00, 100269.34
2019/04/06 02:00:00, 100330.16
2019/04/06 03:00:00, 100420.30
2019/04/06 04:00:00, 100525.52
2019/04/06 05:00:00, 100606.88
2019/04/06 06:00:00, 100709.62
2019/04/06 07:00:00, 100798.23
2019/04/06 08:00:00, 100833.70
2019/04/06 09:00:00, 100855.62
2019/04/06 10:00:00, 100868.68
2019/04/06 11:00:00, 100845.84
2019/04/06 12:00:00, 100821.14
